26-06-07 01:24:09: Training starting...
global_step=71108, episodic_return=-108.9
global_step=71204, episodic_return=-110.1
global_step=71240, episodic_return=-109.5
global_step=71444, episodic_return=-104.3
global_step=71452, episodic_return=-106.2
global_step=71540, episodic_return=-102.5
global_step=71672, episodic_return=-108.8
global_step=71704, episodic_return=-104.7
global_step=71864, episodic_return=-105.9
global_step=72056, episodic_return=-110.3
global_step=72180, episodic_return=-107.4
global_step=72316, episodic_return=-106.3
global_step=72448, episodic_return=-108.2
global_step=72560, episodic_return=-112.0
global_step=72696, episodic_return=-108.3
global_step=72828, episodic_return=-109.6
global_step=73036, episodic_return=-104.3
global_step=73324, episodic_return=-108.5
global_step=73780, episodic_return=-112.6
global_step=74064, episodic_return=-108.0
global_step=74316, episodic_return=-105.8
global_step=74616, episodic_return=-110.8
global_step=74904, episodic_return=-106.9
global_step=74968, episodic_return=-127.0
global_step=75152, episodic_return=-107.9
global_step=75324, episodic_return=-123.8
global_step=75408, episodic_return=-106.9
global_step=75656, episodic_return=-108.0
global_step=75704, episodic_return=-105.0
global_step=75956, episodic_return=-106.8
global_step=75968, episodic_return=-109.0
global_step=76212, episodic_return=-104.9
global_step=76260, episodic_return=-104.2
global_step=76444, episodic_return=-107.9
global_step=76600, episodic_return=-109.3
global_step=76764, episodic_return=-108.4
global_step=76908, episodic_return=-105.8
global_step=77012, episodic_return=-106.0
global_step=77160, episodic_return=-108.7
global_step=77380, episodic_return=-107.6
global_step=77436, episodic_return=-103.0
global_step=77664, episodic_return=-102.3
global_step=77708, episodic_return=-103.2
global_step=77928, episodic_return=-102.9
global_step=77972, episodic_return=-105.4
global_step=78104, episodic_return=-128.1
global_step=78308, episodic_return=-102.4
global_step=78376, episodic_return=-101.6
global_step=78384, episodic_return=-107.1
global_step=78568, episodic_return=-107.4
global_step=78776, episodic_return=-102.0
global_step=78780, episodic_return=-103.1
global_step=78788, episodic_return=-107.5
global_step=79076, episodic_return=-103.7
global_step=79100, episodic_return=-102.9
global_step=79168, episodic_return=-101.0
global_step=79228, episodic_return=-135.3
global_step=79388, episodic_return=-101.1
global_step=79416, episodic_return=-103.7
global_step=79448, episodic_return=-100.6
global_step=79580, episodic_return=-108.0
global_step=79584, episodic_return=-104.6
global_step=79712, episodic_return=-100.6
global_step=79884, episodic_return=-104.5
global_step=79960, episodic_return=-100.4
global_step=80092, episodic_return=-106.1
global_step=80140, episodic_return=-104.8
global_step=80336, episodic_return=-106.5
global_step=80464, episodic_return=-99.9
global_step=80568, episodic_return=-100.3
global_step=80936, episodic_return=-123.0
global_step=80996, episodic_return=-101.6
global_step=81136, episodic_return=-106.7
global_step=81356, episodic_return=-103.0
global_step=81360, episodic_return=-104.4
global_step=81412, episodic_return=-104.5
global_step=81604, episodic_return=-107.1
global_step=81608, episodic_return=-106.8
global_step=81808, episodic_return=-101.3
global_step=81920, episodic_return=-102.8
global_step=82028, episodic_return=-106.5
global_step=82052, episodic_return=-104.3
global_step=82144, episodic_return=-107.6
global_step=82268, episodic_return=-106.0
global_step=82356, episodic_return=-105.0
global_step=82584, episodic_return=-107.6
global_step=82644, episodic_return=-107.2
global_step=82696, episodic_return=-103.1
global_step=82900, episodic_return=-105.3
global_step=83100, episodic_return=-102.7
global_step=83128, episodic_return=-105.5
global_step=83456, episodic_return=-103.8
global_step=83492, episodic_return=-101.2
global_step=83700, episodic_return=-108.4
global_step=83860, episodic_return=-107.2
global_step=84144, episodic_return=-105.1
global_step=84340, episodic_return=-109.1
global_step=84848, episodic_return=-102.4
global_step=85084, episodic_return=-102.0
global_step=85288, episodic_return=-105.7
global_step=85792, episodic_return=-105.6
global_step=85848, episodic_return=-132.0
global_step=86156, episodic_return=-103.4
global_step=86260, episodic_return=-104.2
global_step=86600, episodic_return=-111.2
global_step=86660, episodic_return=-102.9
global_step=87132, episodic_return=-98.9
global_step=87220, episodic_return=-100.2
global_step=87476, episodic_return=-103.9
global_step=87584, episodic_return=-103.2
